scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,19,18.42,17.91,0.51,0.027687296,56.93,227.67,173.85,8.82,11.88,31.37,43.28,15.46,6.97,22.62,,
158,20,18.98,18.45,0.53,0.027924131,56.93,227.67,173.85,8.82,11.88,32.39,44.6,15.46,6.97,22.62,,
158,21,19.53,18.72,0.81,0.041474654,56.93,227.67,173.85,8.82,11.88,33.4,45.91,15.46,6.97,22.62,,
158,22,18.62,18.17,0.45,0.024167562,56.93,227.67,173.85,6.78,11.61,31.67,43.75,15.82,6.76,26.41,,
158,23,19.17,18.75,0.42,0.021909233,56.93,227.67,173.85,6.78,11.61,32.68,45.05,15.82,6.76,26.41,,
158,24,19.72,19.05,0.67,0.033975659,56.93,227.67,173.85,6.78,11.61,33.69,46.36,15.82,6.76,26.41,,
158,25,18.81,18.29,0.52,0.02764487,56.93,227.67,173.85,6.78,11.61,32.02,44.2,15.82,6.76,30.25,,
158,26,19.36,18.9,0.46,0.023760331,56.93,227.67,173.85,6.78,11.61,33.03,45.5,15.82,6.76,30.25,,
158,27,19.91,19.22,0.69,0.034655952,56.93,227.67,173.85,6.78,11.61,34.04,46.81,15.82,6.76,30.25,,
158,28,19.57,18.75,0.82,0.041900869,56.93,227.67,173.85,8.82,11.88,33.47,46,15.46,6.97,22.62,,
158,29,20.12,19.32,0.8,0.039761431,56.93,227.67,173.85,8.82,11.88,34.48,47.3,15.46,6.97,22.62,,
158,30,20.67,19.61,1.06,0.051282051,56.93,227.67,173.85,8.82,11.88,35.49,48.61,15.46,6.97,22.62,,
158,31,19.76,18.92,0.84,0.042510121,56.93,227.67,173.85,6.78,11.61,33.77,46.45,15.82,6.76,26.41,,
158,32,20.31,19.53,0.78,0.038404727,56.93,227.67,173.85,6.78,11.61,34.78,47.75,15.82,6.76,26.41,,
158,33,20.86,19.86,1,0.047938639,56.93,227.67,173.85,6.78,11.61,35.78,49.06,15.82,6.76,26.41,,
158,34,19.95,18.99,0.96,0.048120301,56.93,227.67,173.85,6.78,11.61,34.11,46.9,15.82,6.76,30.25,,
158,35,20.5,19.64,0.86,0.04195122,56.93,227.67,173.85,6.78,11.61,35.12,48.2,15.82,6.76,30.25,,
